센터명,관리코드,물품명,수량
종로구 푸드뱅크마켓 1호점, S32901,조미료,382
종로구 푸드뱅크마켓 1호점, S32901,수산가공식품,1
종로구 푸드뱅크마켓 1호점, S32901, 대용식(기타),2502
종로구 푸드뱅크마켓 1호점, S32901,통조림/병,2
종로구 푸드뱅크마켓 1호점, S32901,절임/발효식품,387
종로구 푸드뱅크마켓 1호점, S32901, 건강식품,74
종로구 푸드뱅크마켓 1호점, S32901, 과자류,46
종로구 푸드뱅크마켓 1호점, S32901, 음료/주류,2318
종로구 푸드뱅크마켓 1호점, S32901,도시락류,56
종로구 푸드뱅크마켓 1호점, S32901, 대용식(빵),14765
종로구 푸드뱅크마켓 1호점, S32901, 기타가공식품,2598
종로구 푸드뱅크마켓 1호점, S32901, 농산물,604
종로구 푸드뱅크마켓 1호점, S32901, 기타신선식품,402
중구 푸드뱅크마켓센터, S36901,조미료,563
중구 푸드뱅크마켓센터, S36901,수산가공식품,384
중구 푸드뱅크마켓센터, S36901, 대용식(기타),1128
중구 푸드뱅크마켓센터, S36901,절임/발효식품,100
중구 푸드뱅크마켓센터, S36901, 즉석/편의식품,549
중구 푸드뱅크마켓센터, S36901, 대용식(빵),45608
중구 푸드뱅크마켓센터, S36901, 기타가공식품,289
중구 푸드뱅크마켓센터, S36901, 농산물,950
용산구 푸드뱅크마켓센터, S33501,조미료,500
용산구 푸드뱅크마켓센터, S33501, 대용식(기타),105
용산구 푸드뱅크마켓센터, S33501,통조림/병,265
용산구 푸드뱅크마켓센터, S33501, 즉석/편의식품,948
용산구 푸드뱅크마켓센터, S33501, 급식류,2660
용산구 푸드뱅크마켓센터, S33501, 대용식(빵),40779
용산구 푸드뱅크마켓센터, S33501, 기타가공식품,159
용산구 푸드뱅크마켓센터, S33501, 농산물,110
용산구 푸드뱅크마켓센터, S33501, 축산물,30
성동 희망푸드 나눔센터, S35601,조미료,1363
성동 희망푸드 나눔센터, S35601, 유제품,4
성동 희망푸드 나눔센터, S35601,축산가공식품,50
성동 희망푸드 나눔센터, S35601,수산가공식품,654
성동 희망푸드 나눔센터, S35601, 대용식(기타),598
성동 희망푸드 나눔센터, S35601,통조림/병,39
성동 희망푸드 나눔센터, S35601, 냉동식품,100
성동 희망푸드 나눔센터, S35601, 즉석/편의식품,1125
성동 희망푸드 나눔센터, S35601, 대용식(빵),17677
성동 희망푸드 나눔센터, S35601, 기타가공식품,1395
성동 희망푸드 나눔센터, S35601, 농산물,800
성동 희망푸드 나눔센터, S35601, 축산물,1100
광진 푸드뱅크마켓센터, S34101,조미료,140
광진 푸드뱅크마켓센터, S34101,분말류,98
광진 푸드뱅크마켓센터, S34101, 즉석/편의식품,1942
광진 푸드뱅크마켓센터, S34101, 대용식(빵),11480
광진 푸드뱅크마켓센터, S34101, 기타가공식품,5646
광진 푸드뱅크마켓센터, S34101, 농산물,1392
동대문 푸드뱅크마켓, S35801,조미료,10
동대문 푸드뱅크마켓, S35801,축산가공식품,500
동대문 푸드뱅크마켓, S35801,수산가공식품,232
