센터명,물품명,수량
종로구 푸드뱅크마켓 1호점,라면류,522
종로구 푸드뱅크마켓 1호점,쌀/곡식류,280
종로구 푸드뱅크마켓 1호점,밀가루(류),144
종로구 푸드뱅크마켓 1호점,고추장(류),322
종로구 푸드뱅크마켓 1호점,된장(류),83
종로구 푸드뱅크마켓 1호점,참기름,120
종로구 푸드뱅크마켓 1호점,가공햄류,1
종로구 푸드뱅크마켓 1호점,통조림류,259
종로구 푸드뱅크마켓 1호점,설탕(류),284
종로구 푸드뱅크마켓 1호점,간장(류),321
종로구 푸드뱅크마켓 1호점,국수(소면류),438
종로구 푸드뱅크마켓 1호점,김(류),52
중구 푸드뱅크마켓센터,쌀/곡식류,1803
중구 푸드뱅크마켓센터,밀가루(류),59
중구 푸드뱅크마켓센터,고추장(류),74
중구 푸드뱅크마켓센터,참기름,113
중구 푸드뱅크마켓센터,간장(류),43
중구 푸드뱅크마켓센터,국수(소면류),175
용산구 푸드뱅크마켓센터,라면류,118
용산구 푸드뱅크마켓센터,쌀/곡식류,175
용산구 푸드뱅크마켓센터,고추장(류),226
용산구 푸드뱅크마켓센터,된장(류),127
용산구 푸드뱅크마켓센터,참기름,175
용산구 푸드뱅크마켓센터,식용유(류),195
용산구 푸드뱅크마켓센터,통조림류,104
용산구 푸드뱅크마켓센터,설탕(류),120
용산구 푸드뱅크마켓센터,간장(류),193
용산구 푸드뱅크마켓센터,국수(소면류),139
성동 희망푸드 나눔센터,쌀/곡식류,74
성동 희망푸드 나눔센터,밀가루(류),144
성동 희망푸드 나눔센터,고추장(류),76
성동 희망푸드 나눔센터,된장(류),76
성동 희망푸드 나눔센터,참기름,45
성동 희망푸드 나눔센터,식용유(류),79
성동 희망푸드 나눔센터,통조림류,6
성동 희망푸드 나눔센터,설탕(류),41
성동 희망푸드 나눔센터,간장(류),70
성동 희망푸드 나눔센터,국수(소면류),111
성동 희망푸드 나눔센터,김(류),52
광진 푸드뱅크마켓센터,라면류,412
광진 푸드뱅크마켓센터,쌀/곡식류,2789
광진 푸드뱅크마켓센터,고추장(류),347
광진 푸드뱅크마켓센터,된장(류),471
광진 푸드뱅크마켓센터,참기름,103
광진 푸드뱅크마켓센터,설탕(류),24
광진 푸드뱅크마켓센터,간장(류),395
광진 푸드뱅크마켓센터,국수(소면류),73
광진 푸드뱅크마켓센터,김(류),24
동대문 푸드뱅크마켓,고추장(류),364
동대문 푸드뱅크마켓,된장(류),284
동대문 푸드뱅크마켓,설탕(류),30
동대문 푸드뱅크마켓,간장(류),110
동대문 푸드뱅크마켓,국수(소면류),417
중랑 푸드마켓센터,라면류,190
중랑 푸드마켓센터,고추장(류),72
중랑 푸드마켓센터,식용유(류),421
중랑 푸드마켓센터,통조림류,72
중랑 푸드마켓센터,설탕(류),108
중랑 푸드마켓센터,간장(류),269
성북구 푸드뱅크마켓센터,쌀/곡식류,26
성북구 푸드뱅크마켓센터,밀가루(류),41
성북구 푸드뱅크마켓센터,고추장(류),99
성북구 푸드뱅크마켓센터,설탕(류),75
성북구 푸드뱅크마켓센터,국수(소면류),11
성북구 푸드뱅크마켓센터,김(류),19
강북 푸드마켓,된장(류),11
강북 푸드마켓,참기름,22
강북 푸드마켓,설탕(류),317
강북 푸드마켓,간장(류),280
강북 푸드마켓,국수(소면류),320
강북 푸드마켓,즉석밥류,270
서울광역푸드뱅크센터,쌀/곡식류,13
서울광역푸드뱅크센터,참기름,7
서울광역푸드뱅크센터,간장(류),1338
도봉 푸드마켓뱅크,쌀/곡식류,474
도봉 푸드마켓뱅크,밀가루(류),154
도봉 푸드마켓뱅크,설탕(류),314
도봉 푸드마켓뱅크,간장(류),465
도봉 푸드마켓뱅크,국수(소면류),1547
노원구 푸드뱅크마켓센터,라면류,20280
노원구 푸드뱅크마켓센터,쌀/곡식류,78
노원구 푸드뱅크마켓센터,된장(류),73
노원구 푸드뱅크마켓센터,참기름,205
노원구 푸드뱅크마켓센터,간장(류),206
노원구 푸드뱅크마켓센터,국수(소면류),1135
은평 푸드뱅크마켓,라면류,1747
은평 푸드뱅크마켓,쌀/곡식류,3050
은평 푸드뱅크마켓,밀가루(류),8
은평 푸드뱅크마켓,된장(류),13
은평 푸드뱅크마켓,참기름,20
은평 푸드뱅크마켓,통조림류,3
은평 푸드뱅크마켓,설탕(류),3
은평 푸드뱅크마켓,간장(류),144
서대문 푸드뱅크,라면류,300
서대문 푸드뱅크,쌀/곡식류,1020
서대문 푸드뱅크,김(류),392
서대문 정담은 푸드마켓 1호점,라면류,120
서대문 정담은 푸드마켓 1호점,쌀/곡식류,1340
서대문 정담은 푸드마켓 1호점,밀가루(류),153
서대문 정담은 푸드마켓 1호점,고추장(류),10
서대문 정담은 푸드마켓 1호점,된장(류),38
서대문 정담은 푸드마켓 1호점,참기름,77
서대문 정담은 푸드마켓 1호점,식용유(류),28
서대문 정담은 푸드마켓 1호점,설탕(류),79
서대문 정담은 푸드마켓 1호점,간장(류),168
서대문 정담은 푸드마켓 1호점,국수(소면류),60
서대문 정담은 푸드마켓 1호점,김(류),9
서대문 정담은 푸드마켓 1호점,즉석밥류,39
서대문 정담은 푸드마켓 2호점,라면류,270
서대문 정담은 푸드마켓 2호점,쌀/곡식류,1330
서대문 정담은 푸드마켓 2호점,밀가루(류),60
서대문 정담은 푸드마켓 2호점,된장(류),27
서대문 정담은 푸드마켓 2호점,참기름,45
서대문 정담은 푸드마켓 2호점,식용유(류),27
서대문 정담은 푸드마켓 2호점,설탕(류),89
서대문 정담은 푸드마켓 2호점,간장(류),113
서대문 정담은 푸드마켓 2호점,국수(소면류),119
서대문 정담은 푸드마켓 2호점,김(류),27
마포 행복나눔 기초푸드마켓1호점,쌀/곡식류,126
마포 행복나눔 기초푸드마켓1호점,고추장(류),27
마포 행복나눔 기초푸드마켓1호점,된장(류),27
마포 행복나눔 기초푸드마켓1호점,식용유(류),359
마포 행복나눔 기초푸드마켓1호점,설탕(류),598
마포 행복나눔 기초푸드마켓1호점,국수(소면류),550
마포 행복나눔 기초푸드마켓2호점,라면류,12
마포 행복나눔 기초푸드마켓2호점,밀가루(류),28
마포 행복나눔 기초푸드마켓2호점,고추장(류),79
마포 행복나눔 기초푸드마켓2호점,된장(류),199
마포 행복나눔 기초푸드마켓2호점,간장(류),53
양천구 푸드뱅크마켓센터 1호점,라면류,660
양천구 푸드뱅크마켓센터 1호점,쌀/곡식류,7786
양천구 푸드뱅크마켓센터 1호점,밀가루(류),127
양천구 푸드뱅크마켓센터 1호점,고추장(류),162
양천구 푸드뱅크마켓센터 1호점,된장(류),18420
양천구 푸드뱅크마켓센터 1호점,참기름,69
양천구 푸드뱅크마켓센터 1호점,식용유(류),68
양천구 푸드뱅크마켓센터 1호점,설탕(류),219
양천구 푸드뱅크마켓센터 1호점,간장(류),255
양천구 푸드뱅크마켓센터 1호점,국수(소면류),192
양천구 푸드뱅크마켓센터 1호점,김(류),735
강서 푸드뱅크마켓,쌀/곡식류,117
강서 푸드뱅크마켓,고추장(류),30
강서 푸드뱅크마켓,된장(류),30
강서 푸드뱅크마켓,통조림류,66
강서 푸드뱅크마켓,간장(류),22
강서 푸드뱅크마켓,김(류),10
구로구 푸드뱅크마켓센터,라면류,331
구로구 푸드뱅크마켓센터,쌀/곡식류,904
구로구 푸드뱅크마켓센터,밀가루(류),145
구로구 푸드뱅크마켓센터,고추장(류),155
구로구 푸드뱅크마켓센터,된장(류),293
구로구 푸드뱅크마켓센터,참기름,36
구로구 푸드뱅크마켓센터,식용유(류),234
구로구 푸드뱅크마켓센터,통조림류,42
구로구 푸드뱅크마켓센터,설탕(류),189
구로구 푸드뱅크마켓센터,간장(류),228
구로구 푸드뱅크마켓센터,국수(소면류),163
구로구 푸드뱅크마켓센터,김(류),36
금천구 푸드뱅크마켓센터,라면류,1155
금천구 푸드뱅크마켓센터,쌀/곡식류,115
금천구 푸드뱅크마켓센터,밀가루(류),219
금천구 푸드뱅크마켓센터,된장(류),8
금천구 푸드뱅크마켓센터,통조림류,232
금천구 푸드뱅크마켓센터,설탕(류),499
금천구 푸드뱅크마켓센터,간장(류),687
금천구 푸드뱅크마켓센터,국수(소면류),380
금천구 푸드뱅크마켓센터,김(류),41
금천구 푸드뱅크마켓센터,즉석밥류,558
영등포구 푸드뱅크마켓 1호점,라면류,1123
영등포구 푸드뱅크마켓 1호점,쌀/곡식류,928
영등포구 푸드뱅크마켓 1호점,밀가루(류),176
영등포구 푸드뱅크마켓 1호점,고추장(류),551
영등포구 푸드뱅크마켓 1호점,된장(류),379
영등포구 푸드뱅크마켓 1호점,참기름,289
영등포구 푸드뱅크마켓 1호점,식용유(류),271
영등포구 푸드뱅크마켓 1호점,설탕(류),287
영등포구 푸드뱅크마켓 1호점,간장(류),55
영등포구 푸드뱅크마켓 1호점,국수(소면류),572
영등포구 푸드뱅크마켓 1호점,김(류),247
동작구 푸드뱅크마켓센터,라면류,11500
동작구 푸드뱅크마켓센터,쌀/곡식류,988
동작구 푸드뱅크마켓센터,밀가루(류),11
동작구 푸드뱅크마켓센터,고추장(류),654
동작구 푸드뱅크마켓센터,된장(류),996
동작구 푸드뱅크마켓센터,식용유(류),400
동작구 푸드뱅크마켓센터,설탕(류),428
동작구 푸드뱅크마켓센터,간장(류),407
관악구 푸드뱅크마켓,라면류,103
관악구 푸드뱅크마켓,밀가루(류),73
관악구 푸드뱅크마켓,고추장(류),382
관악구 푸드뱅크마켓,된장(류),10
관악구 푸드뱅크마켓,가공햄류,474
관악구 푸드뱅크마켓,통조림류,18
관악구 푸드뱅크마켓,설탕(류),50
관악구 푸드뱅크마켓,국수(소면류),373
관악구 푸드뱅크마켓,김(류),330
관악구 푸드뱅크마켓,즉석밥류,25
서초구 푸드뱅크마켓센터,라면류,87
서초구 푸드뱅크마켓센터,참기름,190
서초구 푸드뱅크마켓센터,통조림류,325
서초구 푸드뱅크마켓센터,설탕(류),55
서초구 푸드뱅크마켓센터,간장(류),278
서초구 푸드뱅크마켓센터,국수(소면류),100
서초구 푸드뱅크마켓센터,김(류),28
강남푸드뱅크마켓센터 1호점,라면류,1343
강남푸드뱅크마켓센터 1호점,쌀/곡식류,507
강남푸드뱅크마켓센터 1호점,고추장(류),27
강남푸드뱅크마켓센터 1호점,된장(류),12
강남푸드뱅크마켓센터 1호점,참기름,11
강남푸드뱅크마켓센터 1호점,가공햄류,3
강남푸드뱅크마켓센터 1호점,통조림류,17
강남푸드뱅크마켓센터 1호점,간장(류),28
강남푸드뱅크마켓센터 1호점,즉석밥류,154
강남사랑나눔 이동푸드마켓,라면류,18
강남사랑나눔 이동푸드마켓,쌀/곡식류,1250
강남사랑나눔 이동푸드마켓,고추장(류),66
강남사랑나눔 이동푸드마켓,된장(류),67
강남사랑나눔 이동푸드마켓,참기름,24
강남사랑나눔 이동푸드마켓,설탕(류),76
강남사랑나눔 이동푸드마켓,간장(류),18
강남사랑나눔 이동푸드마켓,김(류),70
송파 푸드마켓뱅크,라면류,799
송파 푸드마켓뱅크,쌀/곡식류,889
송파 푸드마켓뱅크,고추장(류),42
송파 푸드마켓뱅크,된장(류),42
송파 푸드마켓뱅크,참기름,42
송파 푸드마켓뱅크,간장(류),35
글로벌희망나눔,밀가루(류),2
글로벌희망나눔,가공햄류,585
글로벌희망나눔,통조림류,4927
글로벌희망나눔,국수(소면류),167
글로벌희망나눔,김(류),1462
강동 푸드뱅크마켓센터,라면류,77
강동 푸드뱅크마켓센터,쌀/곡식류,35
강동 푸드뱅크마켓센터,밀가루(류),8
강동 푸드뱅크마켓센터,설탕(류),1
강동 푸드뱅크마켓센터,간장(류),1
강동 푸드뱅크마켓센터,국수(소면류),13
나눔과 기쁨 푸드뱅크,라면류,625
나눔과 기쁨 푸드뱅크,고추장(류),20
나눔과 기쁨 푸드뱅크,참기름,5
나눔과 기쁨 푸드뱅크,국수(소면류),16
나눔과 기쁨 푸드뱅크,김(류),33
