센터명,수량
종로구 푸드뱅크마켓 1호점,522
종로구 푸드뱅크마켓 1호점,280
종로구 푸드뱅크마켓 1호점,144
종로구 푸드뱅크마켓 1호점,322
종로구 푸드뱅크마켓 1호점,83
종로구 푸드뱅크마켓 1호점,120
종로구 푸드뱅크마켓 1호점,1
종로구 푸드뱅크마켓 1호점,259
종로구 푸드뱅크마켓 1호점,284
종로구 푸드뱅크마켓 1호점,321
종로구 푸드뱅크마켓 1호점,438
종로구 푸드뱅크마켓 1호점,52
중구 푸드뱅크마켓센터,1803
중구 푸드뱅크마켓센터,59
중구 푸드뱅크마켓센터,74
중구 푸드뱅크마켓센터,113
중구 푸드뱅크마켓센터,43
중구 푸드뱅크마켓센터,175
용산구 푸드뱅크마켓센터,118
용산구 푸드뱅크마켓센터,175
용산구 푸드뱅크마켓센터,226
용산구 푸드뱅크마켓센터,127
용산구 푸드뱅크마켓센터,175
용산구 푸드뱅크마켓센터,195
용산구 푸드뱅크마켓센터,104
용산구 푸드뱅크마켓센터,120
용산구 푸드뱅크마켓센터,193
용산구 푸드뱅크마켓센터,139
성동 희망푸드 나눔센터,74
성동 희망푸드 나눔센터,144
성동 희망푸드 나눔센터,76
성동 희망푸드 나눔센터,76
성동 희망푸드 나눔센터,45
성동 희망푸드 나눔센터,79
성동 희망푸드 나눔센터,6
성동 희망푸드 나눔센터,41
성동 희망푸드 나눔센터,70
성동 희망푸드 나눔센터,111
성동 희망푸드 나눔센터,52
광진 푸드뱅크마켓센터,412
광진 푸드뱅크마켓센터,2789
광진 푸드뱅크마켓센터,347
광진 푸드뱅크마켓센터,471
광진 푸드뱅크마켓센터,103
광진 푸드뱅크마켓센터,24
광진 푸드뱅크마켓센터,395
광진 푸드뱅크마켓센터,73
광진 푸드뱅크마켓센터,24
동대문 푸드뱅크마켓,364
동대문 푸드뱅크마켓,284
동대문 푸드뱅크마켓,30
동대문 푸드뱅크마켓,110
동대문 푸드뱅크마켓,417
중랑 푸드마켓센터,190
중랑 푸드마켓센터,72
중랑 푸드마켓센터,421
중랑 푸드마켓센터,72
중랑 푸드마켓센터,108
중랑 푸드마켓센터,269
성북구 푸드뱅크마켓센터,26
성북구 푸드뱅크마켓센터,41
성북구 푸드뱅크마켓센터,99
성북구 푸드뱅크마켓센터,75
성북구 푸드뱅크마켓센터,11
성북구 푸드뱅크마켓센터,19
강북 푸드마켓,11
강북 푸드마켓,22
강북 푸드마켓,317
강북 푸드마켓,280
강북 푸드마켓,320
강북 푸드마켓,270
서울광역푸드뱅크센터,13
서울광역푸드뱅크센터,7
서울광역푸드뱅크센터,1338
도봉 푸드마켓뱅크,474
도봉 푸드마켓뱅크,154
도봉 푸드마켓뱅크,314
도봉 푸드마켓뱅크,465
도봉 푸드마켓뱅크,1547
노원구 푸드뱅크마켓센터,20280
노원구 푸드뱅크마켓센터,78
노원구 푸드뱅크마켓센터,73
노원구 푸드뱅크마켓센터,205
노원구 푸드뱅크마켓센터,206
노원구 푸드뱅크마켓센터,1135
은평 푸드뱅크마켓,1747
은평 푸드뱅크마켓,3050
은평 푸드뱅크마켓,8
은평 푸드뱅크마켓,13
은평 푸드뱅크마켓,20
은평 푸드뱅크마켓,3
은평 푸드뱅크마켓,3
은평 푸드뱅크마켓,144
서대문 푸드뱅크,300
서대문 푸드뱅크,1020
서대문 푸드뱅크,392
서대문 정담은 푸드마켓 1호점,120
서대문 정담은 푸드마켓 1호점,1340
서대문 정담은 푸드마켓 1호점,153
